City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
309,Yurla,RU,59.3259,54.3223,19.53,97,100,3.65,overcast clouds
310,Sao Jose Do Belmonte,BR,-7.8614,-38.7597,70.3,92,95,4.38,overcast clouds
311,Straumen,NO,63.8709,11.2999,39.2,90,100,3.96,light rain
312,Siuna,NI,13.7332,-84.7773,73.87,81,51,3.83,broken clouds
313,Garissa,KE,-0.4536,39.6401,75.63,77,92,10.42,overcast clouds
314,Dryden,CA,49.7833,-92.7503,-7.31,49,100,2.3,overcast clouds
315,Richards Bay,ZA,-28.783,32.0377,71.85,89,0,9.42,clear sky
316,Akhtanizovskaya,RU,45.32,37.1,36.07,68,100,18.81,overcast clouds
317,Montrose,US,38.4166,-108.2673,35.94,43,20,1.41,few clouds
318,Manoel Urbano,BR,-8.8389,-69.2597,73.49,98,84,3.04,broken clouds
319,Coquimbo,CL,-29.9533,-71.3436,67.73,77,20,10.36,few clouds
320,Ryuo,JP,35.65,138.5,41.88,62,85,1.16,overcast clouds
321,Muros,ES,42.7762,-9.0603,50.5,95,29,9.48,scattered clouds
322,Lixourion,GR,38.2019,20.4314,54.18,77,100,4.0,overcast clouds
323,Camacha,PT,33.0833,-16.3333,59.76,77,40,6.91,scattered clouds
324,Liyang,CN,29.7057,118.2862,43.56,97,100,2.8,light rain
325,Muzhi,RU,65.3667,64.6667,0.97,97,100,7.23,overcast clouds
326,Vila Do Maio,CV,15.1333,-23.2167,74.19,73,95,19.62,overcast clouds
327,Lamin,GM,13.3522,-16.4339,73.51,20,12,13.94,few clouds
328,Faanui,PF,-16.4833,-151.75,81.48,72,79,12.82,broken clouds
329,Champerico,GT,14.3,-91.9167,91.94,59,1,9.62,clear sky
330,Amsterdam,NL,52.374,4.8897,38.89,72,0,13.8,clear sky
331,Isangel,VU,-19.55,169.2667,86.11,79,75,4.61,broken clouds
332,Anage,BR,-14.6122,-41.1356,75.34,77,85,2.08,overcast clouds
333,Grand Forks,US,47.9417,-97.4337,0.79,78,75,25.32,broken clouds
334,Flinders,AU,-34.5833,150.8552,75.79,75,60,5.01,broken clouds
335,Portland,US,45.5234,-122.6762,65.43,30,0,16.11,clear sky
336,Tuatapere,NZ,-46.1333,167.6833,52.83,65,98,8.84,overcast clouds
337,Hongjiang,CN,27.11,109.9956,39.16,98,100,1.74,overcast clouds
338,Srednekolymsk,RU,67.45,153.6833,-26.7,96,87,7.09,overcast clouds
339,Nome,US,64.5011,-165.4064,-0.33,50,0,3.44,clear sky
340,Port Hedland,AU,-20.3167,118.5667,82.45,94,40,8.05,heavy intensity rain
341,Ambilobe,MG,-13.2,49.05,72.5,95,88,1.77,overcast clouds
342,Yagodnoye,RU,62.55,149.6667,-27.9,97,86,3.65,overcast clouds
343,Williams Lake,CA,52.1415,-122.1445,42.37,47,20,6.91,few clouds
344,Arkhara,RU,49.4212,130.0842,2.98,95,100,8.08,light snow
345,Mongu,ZM,-15.2484,23.1274,67.35,91,99,4.54,overcast clouds
