City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
178,Carballo,ES,2022-02-12 20:26:50,43.213,-8.691,50.86,84,8,4.05
179,Bang Saphan,TH,2022-02-12 20:28:12,11.2126,99.5117,73.92,89,13,3.47
180,Coihaique,CL,2022-02-12 20:27:13,-45.5752,-72.0662,86.61,36,0,4.61
181,Sao Filipe,CV,2022-02-12 20:28:12,14.8961,-24.4956,78.35,46,77,20.02
182,Cobija,BO,2022-02-12 20:28:13,-11.0267,-68.7692,80.96,86,98,4.81
183,Paka,MY,2022-02-12 20:28:13,4.6374,103.4368,73.33,94,45,1.14
184,Moundsville,US,2022-02-12 20:28:13,39.9203,-80.7431,38.01,70,100,1.01
185,Kalmanhaza,HU,2022-02-12 20:28:14,47.8833,21.5833,30.09,64,0,6.24
186,Hithadhoo,MV,2022-02-12 20:28:14,-0.6,73.0833,81.25,69,100,10.98
187,Dezhou,CN,2022-02-12 20:28:14,37.4486,116.2925,32.79,73,100,9.93
188,Gazojak,TM,2022-02-12 20:29:14,41.1875,61.4036,37.67,58,6,4.05
189,Castro,BR,2022-02-12 20:29:15,-24.7911,-50.0119,77.47,57,44,5.03
190,Novoagansk,RU,2022-02-12 20:29:15,61.9449,76.6625,-5.55,94,6,9.91
191,Bandundu,CD,2022-02-12 20:29:15,-3.3167,17.3667,79.25,74,100,3.13
192,Taoudenni,ML,2022-02-12 20:29:15,22.6783,-3.9836,67.37,18,0,10.22
193,Kaitangata,NZ,2022-02-12 20:29:16,-46.2817,169.8464,51.93,83,100,9.8
194,Tasiilaq,GL,2022-02-12 20:29:16,65.6145,-37.6368,8.76,66,100,4.05
195,Caravelas,BR,2022-02-12 20:29:16,-17.7125,-39.2481,80.96,73,100,6.82
196,Mvuma,ZW,2022-02-12 20:29:16,-19.2792,30.5283,64.13,54,23,9.01
197,Manzanillo,CU,2022-02-12 20:24:51,20.3433,-77.1167,85.64,52,18,8.97
198,Ponta Do Sol,PT,2022-02-12 20:29:17,32.6667,-17.1,63.23,55,28,4.99
199,San Juan,AR,2022-02-12 20:26:29,-31.5375,-68.5364,74.07,19,14,4.68
200,Boromo,BF,2022-02-12 20:29:17,11.75,-2.9333,82.94,9,15,5.82
201,North Bend,US,2022-02-12 20:29:17,43.4065,-124.2243,62.85,72,0,0.0
202,Damietta,EG,2022-02-12 20:29:17,31.4165,31.8133,58.89,75,0,11.16
203,Chokurdakh,RU,2022-02-12 20:29:18,70.6333,147.9167,-2.24,95,100,13.62
204,Port Blair,IN,2022-02-12 20:29:18,11.6667,92.75,75.24,83,20,3.44
205,Beyneu,KZ,2022-02-12 20:29:18,45.3167,55.2,37.94,84,100,8.25
206,Graham,US,2022-02-12 20:27:41,47.0529,-122.2943,55.33,66,0,6.91
207,Geraldton,AU,2022-02-12 20:29:19,-28.7667,114.6,68.41,73,2,9.22
208,Vermillion,US,2022-02-12 20:29:19,42.7794,-96.9292,30.87,42,100,5.88
209,Narsaq,GL,2022-02-12 20:29:19,60.9167,-46.05,30.42,98,100,1.48
210,Sainte-Maxime,FR,2022-02-12 20:29:19,43.3,6.6333,53.62,55,95,13.91
211,Ankazoabo,MG,2022-02-12 20:29:20,-22.2833,44.5167,79.88,59,75,5.28
212,Milkovo,RU,2022-02-12 20:29:20,54.7167,158.6167,-9.2,99,100,2.26
213,Warman,CA,2022-02-12 20:29:20,52.3168,-106.5679,12.11,56,0,3.44
214,Broome,US,2022-02-12 20:29:20,42.2506,-75.833,42.01,64,75,12.66
215,Namibe,AO,2022-02-12 20:28:10,-15.1961,12.1522,75.79,82,91,7.31
216,Hofn,IS,2022-02-12 20:29:21,64.2539,-15.2082,24.37,69,100,20.8
217,Karla,EE,2022-02-12 20:29:21,59.3723,24.9275,36.57,80,100,17.27
218,Bara,NG,2022-02-12 20:29:21,10.3744,10.7288,77.52,16,33,8.46
219,Saquarema,BR,2022-02-12 20:28:45,-22.92,-42.5103,78.82,83,38,7.87
220,Nuuk,GL,2022-02-12 20:29:22,64.1835,-51.7216,12.54,84,100,7.67
221,Belawan,ID,2022-02-12 20:29:22,3.7755,98.6832,77.29,90,100,5.39
222,Mahebourg,MU,2022-02-12 20:29:22,-20.4081,57.7,80.89,83,40,9.22
